train_loss,epoch,step
6.986302375793457,0,0
3.7810850143432617,0,1
3.7225561141967773,0,2
6.581345081329346,0,3
4.0628790855407715,0,4
0.6598721742630005,0,5
2.5734353065490723,0,6
1.1761759519577026,0,7
1.6748096942901611,0,8
0.7035722136497498,0,9
0.7586526870727539,0,10
1.1310617923736572,0,11
0.8059324026107788,0,12
0.7928996682167053,0,13
0.6289867758750916,0,14
0.5803951621055603,0,15
1.15230393409729,0,16
0.26844462752342224,0,17
1.6011301279067993,0,18
0.2603316605091095,0,19
1.4093048572540283,1,20
0.4708256125450134,1,21
1.498706340789795,1,22
0.5128412246704102,1,23
0.5762781500816345,1,24
0.7068257331848145,1,25
0.6173831820487976,1,26
0.6539432406425476,1,27
0.3033033013343811,1,28
0.6423393487930298,1,29
0.7932595610618591,1,30
0.589277446269989,1,31
0.6027694344520569,1,32
0.4769369065761566,1,33
1.1622047424316406,1,34
0.35458964109420776,1,35
0.7638003826141357,1,36
0.5878841280937195,1,37
1.2887274026870728,1,38
0.988979160785675,1,39
0.5144695043563843,2,40
0.41321632266044617,2,41
0.6407373547554016,2,42
0.6224997043609619,2,43
0.7649645209312439,2,44
0.51638263463974,2,45
0.3954368531703949,2,46
0.73264479637146,2,47
0.5590846538543701,2,48
0.410734087228775,2,49
0.5200327634811401,2,50
0.237000972032547,2,51
0.6196731925010681,2,52
0.3776782155036926,2,53
0.2990665137767792,2,54
0.5814912915229797,2,55
0.7990279793739319,2,56
0.891413688659668,2,57
0.28136175870895386,2,58
0.9979619979858398,2,59
0.685418426990509,3,60
0.3808761239051819,3,61
0.25749045610427856,3,62
0.3053542971611023,3,63
0.49103620648384094,3,64
0.664345383644104,3,65
0.23968057334423065,3,66
0.31846848130226135,3,67
0.16924181580543518,3,68
0.476473331451416,3,69
0.13835956156253815,3,70
0.07054596394300461,3,71
0.8412484526634216,3,72
0.8393861651420593,3,73
0.8427813053131104,3,74
0.24779923260211945,3,75
0.13398872315883636,3,76
0.11221420764923096,3,77
0.6334819793701172,3,78
1.479259967803955,3,79
0.029744861647486687,4,80
0.22058816254138947,4,81
0.10809246450662613,4,82
0.028004838153719902,4,83
0.17199520766735077,4,84
0.3279528319835663,4,85
0.10048273205757141,4,86
0.08645176142454147,4,87
0.18661917746067047,4,88
0.29730039834976196,4,89
0.19284123182296753,4,90
0.04651005566120148,4,91
0.03045741654932499,4,92
0.6478779911994934,4,93
0.04024214670062065,4,94
0.057400837540626526,4,95
0.20310823619365692,4,96
0.03400510177016258,4,97
0.01869826205074787,4,98
0.09257929027080536,4,99
0.028213582932949066,5,100
0.013171921484172344,5,101
