valid_loss,val_acc,epoch,step,train_loss,train_acc
0.6598995327949524,0.6499999761581421,0,3,,
,,0,3,0.6088321208953857,0.7400000095367432
0.6471151113510132,0.6899999976158142,1,7,,
,,1,7,0.5893815159797668,0.7979999780654907
0.6287262439727783,0.8399999737739563,2,11,,
,,2,11,0.5717357993125916,0.8299999833106995
0.6088813543319702,0.8500000238418579,3,15,,
,,3,15,0.5482804775238037,0.8840000033378601
0.5874907970428467,0.8799999952316284,4,19,,
,,4,19,0.5261656045913696,0.9179999828338623
0.5604323148727417,0.9399999976158142,5,23,,
,,5,23,0.510388195514679,0.9300000071525574
