train_loss,epoch,step,valid_loss
0.6051600575447083,0,63,
0.4118303656578064,0,127,
0.44757410883903503,0,191,
,0,200,0.36131376028060913
0.3033035695552826,1,255,
0.20839139819145203,1,319,
0.17926593124866486,1,383,
,1,401,0.20882976055145264
0.1164395660161972,2,447,
0.04592547565698624,2,511,
0.18859604001045227,2,575,
,2,602,0.12636961042881012
0.06657888740301132,3,639,
0.051717955619096756,3,703,
0.17764237523078918,3,767,
,3,803,0.07356365025043488
0.032650433480739594,4,831,
0.06855583190917969,4,895,
0.0644877701997757,4,959,
,4,1004,0.05431444197893143
0.024852944537997246,5,1023,
0.06756462156772614,5,1087,
0.026035025715827942,5,1151,
,5,1205,0.03906918689608574
0.009473945945501328,6,1215,
0.0300320815294981,6,1279,
0.05934545770287514,6,1343,
,6,1406,0.028012646362185478
0.023040447384119034,7,1407,
0.0234000813215971,7,1471,
0.008737198077142239,7,1535,
0.1011504977941513,7,1599,
,7,1607,0.023406758904457092
0.012511203996837139,8,1663,
0.006110736168920994,8,1727,
0.010440553538501263,8,1791,
,8,1808,0.018097728490829468
0.010723954997956753,9,1855,
0.006421572528779507,9,1919,
0.06368376314640045,9,1983,
,9,2009,0.014917275868356228
0.01117792073637247,10,2047,
0.010529816150665283,10,2111,
0.002193526132032275,10,2175,
,10,2210,0.011885305866599083
0.003722764551639557,11,2239,
0.003336285939440131,11,2303,
0.005083657801151276,11,2367,
,11,2411,0.010206869803369045
0.011941089294850826,12,2431,
0.0026138920802623034,12,2495,
0.0036726053804159164,12,2559,
,12,2612,0.019572041928768158
0.006247151643037796,13,2623,
0.00566986296325922,13,2687,
0.006302852649241686,13,2751,
,13,2813,0.013689907267689705
0.0010318472050130367,14,2815,
0.002218718873336911,14,2879,
0.0021676800679415464,14,2943,
0.008661782369017601,14,3007,
,14,3014,0.006843080744147301
0.0038029649294912815,15,3071,
0.000876997597515583,15,3135,
0.004709178581833839,15,3199,
,15,3215,0.007382403593510389
0.003298289142549038,16,3263,
0.008517967537045479,16,3327,
0.0008802139200270176,16,3391,
,16,3416,0.008458342403173447
0.0016866466030478477,17,3455,
0.001879521063528955,17,3519,
0.0005449441960081458,17,3583,
,17,3617,0.0066307950764894485
0.0010349965887144208,18,3647,
0.00048800738295540214,18,3711,
0.0018234075978398323,18,3775,
,18,3818,0.005591853521764278
0.0009483892354182899,19,3839,
0.0003949794627260417,19,3903,
0.0007277047843672335,19,3967,
,19,4019,0.004227284342050552
0.004280913155525923,20,4031,
0.000791995320469141,20,4095,
0.001462829182855785,20,4159,
,20,4220,0.004428471438586712
0.0004571200697682798,21,4223,
0.000613666488789022,21,4287,
0.0019954945892095566,21,4351,
0.048644840717315674,21,4415,
,21,4421,0.0054253460839390755
0.0004916897160001099,22,4479,
0.0013604683335870504,22,4543,
0.0004084505490027368,22,4607,
,22,4622,0.007545908913016319
0.010220229625701904,23,4671,
0.002778603695333004,23,4735,
0.00041865409002639353,23,4799,
,23,4823,0.005878348834812641
0.00121453613974154,24,4863,
0.0011149866040796041,24,4927,
0.0005898841191083193,24,4991,
,24,5024,0.009813912212848663
0.0019785198383033276,25,5055,
0.002529004355892539,25,5119,
0.014619876630604267,25,5183,
,25,5225,0.0027828121092170477
0.0003364877193234861,26,5247,
0.00044252697261981666,26,5311,
0.00036951646325178444,26,5375,
,26,5426,0.0029902944806963205
0.000694984570145607,27,5439,
0.001057477667927742,27,5503,
0.0005191501695662737,27,5567,
,27,5627,0.008757742121815681
0.00022306224855128676,28,5631,
0.0006695886258967221,28,5695,
0.010188380256295204,28,5759,
0.0012056749546900392,28,5823,
,28,5828,0.001656730892136693
0.0015134623972699046,29,5887,
0.0002097711549140513,29,5951,
0.005343643948435783,29,6015,
,29,6029,0.006238914560526609
0.00024506624322384596,30,6079,
0.0026317762676626444,30,6143,
0.00012507404608186334,30,6207,
,30,6230,0.002113903872668743
0.0003814283409155905,31,6271,
0.0020920722745358944,31,6335,
0.026481453329324722,31,6399,
,31,6431,0.003040115348994732
