valid_loss,val_acc,epoch,step,train_loss,train_acc
1.8075878620147705,0.7106897830963135,0,773,,
,,0,773,0.6252924799919128,0.6646714210510254
2.380002737045288,0.7661739587783813,1,1547,,
,,1,1547,0.4725262224674225,0.7962955236434937
2.4993367195129395,0.8054305911064148,2,2321,,
,,2,2321,0.33634811639785767,0.8599071502685547
3.1038801670074463,0.8243359327316284,3,3095,,
,,3,3095,0.20348599553108215,0.9258302450180054
3.2381319999694824,0.8242823481559753,4,3869,,
,,4,3869,0.13099205493927002,0.9543454051017761
2.141157627105713,0.8243359327316284,5,4643,,
,,5,4643,0.09643364697694778,0.9666397571563721
2.5849084854125977,0.8430269956588745,6,5417,,
,,6,5417,0.07727233320474625,0.9730796217918396
1.3946009874343872,0.8414202928543091,7,6191,,
,,7,6191,0.06616267561912537,0.9772382974624634
3.8284852504730225,0.8758033514022827,8,6965,,
,,8,6965,0.057664379477500916,0.9797718524932861
4.510564804077148,0.8767138123512268,9,7739,,
,,9,7739,0.0514906644821167,0.9822044968605042
3.581207036972046,0.8777313828468323,10,8513,,
,,10,8513,0.04586397111415863,0.9842434525489807
4.6731953620910645,0.8930484056472778,11,9287,,
,,11,9287,0.04199467599391937,0.9854749441146851
4.435608386993408,0.8921379446983337,12,10061,,
,,12,10061,0.03765684366226196,0.9872615337371826
1.1600364446640015,0.9010282754898071,13,10835,,
,,13,10835,0.034622922539711,0.9880791306495667
1.892352819442749,0.8880141377449036,14,11609,,
,,14,11609,0.03165743499994278,0.989058256149292
2.794858932495117,0.8833011984825134,15,12383,,
,,15,12383,0.02947651408612728,0.9898960590362549
0.5233187675476074,0.8909597396850586,16,13157,,
,,16,13157,0.027817225083708763,0.990441083908081
0.2728394567966461,0.9048843383789062,17,13931,,
,,17,13931,0.025584422051906586,0.9914101362228394
0.41481107473373413,0.9104541540145874,18,14705,,
,,18,14705,0.02343805506825447,0.9917532801628113
0.9668058753013611,0.9053663015365601,19,15479,,
,,19,15479,0.02203797549009323,0.9923690557479858
1.9948638677597046,0.9140424132347107,20,16253,,
,,20,16253,0.020907437428832054,0.9931361675262451
0.29962724447250366,0.9084190130233765,21,17027,,
,,21,17027,0.01918855309486389,0.9935500025749207
0.364292711019516,0.9136675000190735,22,17801,,
,,22,17801,0.01762310229241848,0.9940648078918457
0.7735745310783386,0.899260938167572,23,18575,,
,,23,18575,0.017376147210597992,0.9944281578063965
0.29447612166404724,0.9144708514213562,24,19349,,
,,24,19349,0.01640370488166809,0.9945493340492249
0.7476857900619507,0.9224507212638855,25,20123,,
,,25,20123,0.015053112991154194,0.9948621988296509
0.6301458477973938,0.9192373752593994,26,20897,,
,,26,20897,0.014800799079239368,0.9951953291893005
0.6629408001899719,0.90654456615448,27,21671,,
,,27,21671,0.013832959346473217,0.9955183267593384
0.5661176443099976,0.9279670119285583,28,22445,,
,,28,22445,0.012825999408960342,0.9957706928253174
0.3155606985092163,0.9323050379753113,29,23219,,
,,29,23219,0.011784259229898453,0.9960734844207764
0.4570062458515167,0.916773796081543,30,23993,,
,,30,23993,0.011561072431504726,0.9962248802185059
0.4781321585178375,0.9247536659240723,31,24767,,
,,31,24767,0.011130029335618019,0.9962955713272095
0.2768961489200592,0.9314481616020203,32,25541,,
,,32,25541,0.01016948651522398,0.9965378046035767
0.6168228983879089,0.9230398535728455,33,26315,,
,,33,26315,0.009800674393773079,0.996709406375885
0.6286252737045288,0.9371250867843628,34,27089,,
,,34,27089,0.009891209192574024,0.9966892004013062
0.2483043074607849,0.9387853741645813,35,27863,,
,,35,27863,0.008549529127776623,0.9971939325332642
0.4282761216163635,0.9416238069534302,36,28637,,
,,36,28637,0.008641728200018406,0.9971030354499817
0.6564806699752808,0.9466045498847961,37,29411,,
,,37,29411,0.007972296327352524,0.9974260330200195
0.5955469608306885,0.9340188503265381,38,30185,,
,,38,30185,0.007891560904681683,0.9973654747009277
0.3621343672275543,0.9363753199577332,39,30959,,
,,39,30959,0.007592753041535616,0.9976581931114197
0.5754650831222534,0.9274849891662598,40,31733,,
,,40,31733,0.007582924794405699,0.9973150491714478
0.45645982027053833,0.9353577494621277,41,32507,,
,,41,32507,0.006347069516777992,0.9979913234710693
