valid_loss,epoch,step,train_loss
0.5295425653457642,0,56,
,1,63,0.44776371121406555
0.4528258144855499,1,113,
,2,127,0.3578862249851227
0.37274229526519775,2,170,
,3,191,0.22616010904312134
0.30809536576271057,3,227,
,4,255,0.21399539709091187
