valid_loss,val_acc,epoch,step,train_loss,train_acc
0.005484863184392452,0.9983500242233276,0,781,,
,,0,781,0.08895018696784973,0.9767799973487854
0.003260902129113674,0.9990000128746033,1,1563,,
,,1,1563,0.004380813799798489,0.9988600015640259
0.0011816760525107384,0.999750018119812,2,2345,,
,,2,2345,0.002011331729590893,0.9994800090789795
0.0012264897814020514,0.9996500015258789,3,3127,,
,,3,3127,0.0009222151711583138,0.9998300075531006
0.0012752985348924994,0.9996500015258789,4,3909,,
,,4,3909,0.0006731990142725408,0.9998300075531006
0.0011796093313023448,0.999750018119812,5,4691,,
,,5,4691,0.00028722092974931,0.999970018863678
0.001115415245294571,0.999750018119812,6,5473,,
,,6,5473,0.00034817500272765756,0.9999200105667114
