valid_loss,val_acc,epoch,step,train_loss,train_acc
0.6880488991737366,0.5476649403572083,0,773,,
,,0,773,0.7019395232200623,0.5102351903915405
0.6703261137008667,0.600739061832428,1,1547,,
,,1,1547,0.6815779209136963,0.5640860199928284
0.652489960193634,0.6482968926429749,2,2321,,
,,2,2321,0.6627234220504761,0.6132835149765015
0.6347699165344238,0.6888924837112427,3,3095,,
,,3,3095,0.6444315314292908,0.6542142033576965
0.6176831722259521,0.7183483242988586,4,3869,,
,,4,3869,0.6252017617225647,0.6939336061477661
0.5985250473022461,0.7489289045333862,5,4643,,
,,5,4643,0.6063646078109741,0.7248914837837219
0.5786365270614624,0.7722793221473694,6,5417,,
,,6,5417,0.5861623883247375,0.754072904586792
0.5592828392982483,0.7887746095657349,7,6191,,
,,7,6191,0.5654183626174927,0.7775108218193054
0.5374391674995422,0.8052698969841003,8,6965,,
,,8,6965,0.543989360332489,0.7969011664390564
0.5171920657157898,0.8187660574913025,9,7739,,
,,9,7739,0.5206631422042847,0.8132532835006714
0.48862412571907043,0.8365467190742493,10,8513,,
,,10,8513,0.4965953230857849,0.8293226957321167
0.4658515751361847,0.8494537472724915,11,9287,,
,,11,9287,0.4706467390060425,0.8446351289749146
0.4382590055465698,0.8635389804840088,12,10061,,
,,12,10061,0.44476649165153503,0.8555768728256226
0.4106025993824005,0.8731790781021118,13,10835,,
,,13,10835,0.4163943827152252,0.8692338466644287
0.3844328224658966,0.8845865726470947,14,11609,,
,,14,11609,0.38795870542526245,0.881992518901825
0.3547433018684387,0.9010282754898071,15,12383,,
,,15,12383,0.3598385751247406,0.8943070769309998
0.32413989305496216,0.9165059924125671,16,13157,,
,,16,13157,0.3303828239440918,0.9071464538574219
0.2949877083301544,0.9312339425086975,17,13931,,
,,17,13931,0.3026556074619293,0.9178156852722168
0.26578912138938904,0.9420522451400757,18,14705,,
,,18,14705,0.27449679374694824,0.930362343788147
0.2386893332004547,0.9524421691894531,19,15479,,
,,19,15479,0.248246431350708,0.9410921335220337
0.216131329536438,0.9595651030540466,20,16253,,
,,20,16253,0.22349636256694794,0.9494902491569519
0.18785585463047028,0.9671701192855835,21,17027,,
,,21,17027,0.19925858080387115,0.957353413105011
0.1695304811000824,0.9721508026123047,22,17801,,
,,22,17801,0.1783810406923294,0.9632078409194946
0.1470949798822403,0.9767031073570251,23,18575,,
,,23,18575,0.1594100445508957,0.9678913950920105
0.13196523487567902,0.9783097505569458,24,19349,,
