train_loss,epoch,step,valid_loss
0.5980998873710632,0,0,
0.5951157808303833,0,1,
0.8175480961799622,0,2,
0.6723847985267639,0,3,
0.7655962705612183,0,4,
0.6409963369369507,0,5,
0.6047421097755432,0,6,
0.7089312076568604,0,7,
0.621376097202301,0,8,
0.840654194355011,0,9,
0.743327796459198,0,10,
0.7855998277664185,0,11,
0.7189733982086182,0,12,
0.5973045825958252,0,13,
0.6476588249206543,0,14,
0.6499535441398621,0,15,
0.4735981225967407,0,16,
0.6031341552734375,0,17,
0.6900498867034912,0,18,
0.6965692043304443,0,19,
,0,19,0.71974116563797
0.6059173345565796,1,20,
0.6363292336463928,1,21,
0.7580470442771912,1,22,
0.5248023867607117,1,23,
0.7162697911262512,1,24,
0.8270036578178406,1,25,
0.5345979332923889,1,26,
0.6333385109901428,1,27,
0.753369152545929,1,28,
0.5012298822402954,1,29,
0.7685515284538269,1,30,
0.9299373626708984,1,31,
0.5092319846153259,1,32,
0.5611924529075623,1,33,
0.4937498867511749,1,34,
0.6552854180335999,1,35,
0.3717975318431854,1,36,
0.8259392380714417,1,37,
0.6624289155006409,1,38,
0.5696597099304199,1,39,
,1,39,0.6361150741577148
0.5122323632240295,2,40,
0.5374504923820496,2,41,
0.7397451400756836,2,42,
0.6451559066772461,2,43,
0.8614769577980042,2,44,
0.5341188907623291,2,45,
0.7584653496742249,2,46,
0.5360100269317627,2,47,
0.5427084565162659,2,48,
0.7218491435050964,2,49,
0.7059988379478455,2,50,
0.5893537402153015,2,51,
0.49643227458000183,2,52,
0.5455123782157898,2,53,
0.36822038888931274,2,54,
0.5503959059715271,2,55,
0.4621654748916626,2,56,
0.8772856593132019,2,57,
0.5565470457077026,2,58,
0.6424219608306885,2,59,
,2,59,0.646047830581665
0.48543262481689453,3,60,
0.6025428175926208,3,61,
0.5262354016304016,3,62,
0.3332914412021637,3,63,
0.4904922544956207,3,64,
0.39081865549087524,3,65,
0.21136553585529327,3,66,
0.5072149038314819,3,67,
0.5299249887466431,3,68,
0.4212310016155243,3,69,
0.5573981404304504,3,70,
1.318899154663086,3,71,
0.6187264919281006,3,72,
0.44177719950675964,3,73,
0.7309637069702148,3,74,
1.2942194938659668,3,75,
0.5821111798286438,3,76,
0.34930020570755005,3,77,
0.6756209135055542,3,78,
0.7345052361488342,3,79,
,3,79,0.615978479385376
